Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,9,Female,14,Right-Handed,163,22,157,2,Bus,20,0.36,62,Soccer,1000,1000,1000,1000,100,900,23,Left foot,90,90,Same length,October,Winter,Yes,No,Rice/Noodle dishes,Water,Science,7,10,5,Yes - broadband connection,Text messaging,37,20,2,1,5,3,8,0,1,4,20,8,4,1,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Sports person,Education/Youth development
USA,SC,2020,12,Female,17,Right-Handed,160.2,23.8,N/A,1,Car,30,1.347,34,Soccer,3000,5000,8500,6000,7000,8000,23.8,Same length,63.5,69.8,Ring finger,September,Summer,Yes,No,Desserts,Soft drink (caffeinated),Science,6,6,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",98,160,40,100,25,10,100,90,150,130,150,90,0,20,Some,Other,Country,Invisibility,Healthy,Doctor or nurse,Health
USA,CA,2020,7,Male,13,Right-Handed,5'6,40,40,2,Bus,30,1,2,Soccer,1000,1000,1000,1000,1000,99999,40,Same length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,AR,2020,9,Female,15,Right-Handed,169.5,19,168.5,1,Car,8,0.329,38,Basketball,738,882,444,139,872,1000,18,Right foot,60,60,Same length,November,Fall,Yes,No,Pizza/Pasta,Soft drink (caffeinated),,6,4,3,Yes - broadband connection,Text messaging,120,110,60,45,1,4,20,24,100,92,120,84,14,5,Some,Graduate degree,Country,Telepathy,Famous,Coach or club leader,Education/Youth development
USA,NC,2020,12,Male,16,Right-Handed,170.2,26,168.9,2,Bus,20,0.273,34,Football (American),1000,1000,1000,1000,775,775,26,Same length,93,100,Ring finger,May,Summer,No,Yes,Pizza/Pasta,Water,Mathematics and statistics,5,10,4,Yes - broadband connection,Text messaging,20,100,5,1,10,5,5,14,14,14,40,2,0,4,A lot,Graduate degree,Rap/Hip hop,Invisibility,Happy,Sports person,International aid
USA,IN,2020,12,Female,16,Right-Handed,165,22,158,1,Bus,30,0.383,34,Hockey (Ice),1000,674,487,487,107,182,22,Same length,60,65,Ring finger,December,Winter,No,No,Other,Water,Music,3,11,4,Yes - broadband connection,In person,5,15,0,0,15,3,0,23,0,7,54,0,0,15,A lot,Graduate degree,Other,Fly,Happy,Musician or singer,Health
USA,OK,2020,12,Female,18,Right-Handed,170,25,165,1,Car,6,0.427,43,Basketball,717,476,914,433,439,203,24,Right foot,9,8,Index finger,August,Fall,Yes,No,Seafood,Soft drink (caffeinated),Physical education,5,8,3,Yes - broadband connection,Text messaging,100,100,20,1,10,4,100,0,20,20,30,40,30,10,A lot,Graduate degree,Country,Invisibility,Happy,Teacher,Education/Youth development
USA,AR,2020,9,Female,14,Right-Handed,,,,2,Bus,45,0.314,40,Martial Arts,439,455,385,535,441,463,24,Left foot,61,61,Same length,June,Fall,No,No,Other,Water,Science,3,9,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2020,11,Female,18,Right-Handed,165,26,152,1,Car,5,0.54,42,Dancing,1000,1000,1000,1000,941,961,26,Same length,80,75,Index finger,November,Winter,No,Yes,Desserts,Coffee,Science,5,9,3,Yes - broadband connection,Text messaging,45,51,4,,,,,,,,,,,,Some,Graduate degree,Pop,Invisibility,Happy,Friend,Health
USA,TN,2020,12,Male,18,Right-Handed,170,24,161,1,Car,15,0.663,41,Football (American),950,800,700,600,800,800,24,Same length,65,40,Index finger,October,Summer,No,No,Pizza/Pasta,Water,History,6,8,3,Yes - other,In person,,,,,,,,,,,,,,,,,,,,,
